time_ms,ne
-1.44574,268380297488579.25
-1.4439,268380297488579.25
-1.44206,268380297488579.25
-1.4402119999999998,268380297484854.72
-1.438372,268380297484854.72
-1.436532,268380297484854.72
-1.4346919999999999,268380297484854.72
-1.432852,268380297484854.72
-1.431012,268380297484854.72
-1.4291719999999999,268380297484854.72
-1.427324,268380297484854.72
-1.425484,268380297484854.72
-1.423644,134190148718217.92
-1.421804,134190148718217.92
-1.419964,134190148714493.44
-1.418124,134190148710768.92
-1.416284,134190148710768.92
-1.414436,134190148707044.4
-1.412596,134190148707044.4
-1.410756,134190148707044.4
-1.408916,134190148707044.4
-1.4070760000000002,134190148707044.4
-1.405236,134190148703319.88
-1.403396,134190148703319.88
-1.401556,134190148703319.88
-1.399708,134190148699595.36
-1.3978679999999999,134190148699595.36
-1.396028,134190148699595.36
-1.394188,268380297462507.6
-1.392348,402570446225419.94
-1.3905079999999999,402570446225419.8
-1.388668,402570446225419.8
-1.386828,402570446225419.8
-1.3849879999999999,402570446225419.8
-1.38314,402570446225419.8
-1.3813,402570446225419.8
-1.37946,402570446221695.25
-1.3776199999999998,536760594988332.06
-1.37578,536760594988332.06
-1.37394,536760594988332.06
-1.3720999999999999,536760594988332.06
-1.37026,536760594988332.06
-1.36842,402570446221695.4
-1.366572,402570446221695.4
-1.364732,402570446221695.4
-1.362892,402570446217970.8
-1.361052,402570446217970.8
-1.359212,402570446217970.8
-1.357364,402570446214246.3
-1.355524,402570446214246.3
-1.3536839999999999,402570446214246.3
-1.351844,402570446210521.75
-1.350004,268380297440160.53
-1.348164,-93113.07114935869
-1.346324,-134190148856025.36
-1.344484,-134190148856025.36
-1.342644,-134190148859749.84
-1.340804,-134190148856025.31
-1.338964,-134190148859749.84
-1.337124,-268380297630111.2
-1.335284,-402570446396748.0
-1.333436,-536760595163384.8
-1.331596,-536760595163384.8
-1.329756,-536760595163384.8
-1.3279159999999999,-536760595163384.8
-1.326076,-536760595159660.2
-1.324236,-536760595159660.2
-1.322396,-536760595159660.2
-1.320556,-536760595159660.2
-1.318708,-402570446389298.9
-1.316868,-268380297626386.7
-1.3150279999999999,-134190148863474.42
-1.313188,-96837.62186748807
-1.311348,-100562.14668844923
-1.309508,-100562.20028874736
-1.307668,-100562.25388904552
-1.305828,-100562.20028874736
-1.303988,-134190148863474.45
-1.3021479999999999,-268380297630111.28
-1.3003,-268380297633835.84
-1.29846,-268380297630111.28
-1.29662,-268380297626386.7
-1.29478,-268380297630111.25
-1.29294,-268380297630111.25
-1.2911,-268380297630111.2
-1.2892599999999999,-268380297630111.2
-1.28742,-134190148867198.92
-1.285572,-96837.64866763714
-1.283732,134190148673523.69
-1.281892,134190148673523.69
-1.280052,134190148669799.1
-1.278204,134190148673523.69
-1.276364,134190148673523.69
-1.274524,134190148669799.14
-1.272684,134190148673523.72
